label,class,name,color,group,lane,starting_time,ending_time,status
person_a,a,test1,green,1,1,2023/01/23 12:00:00,1703870010000,Run
person_a,d,test2,blue,1,1,1703850510000,1703870010000,Wait
person_a,a,test5,red,1,2,1703809000000,1703819900000,Fix
person_b,a,test3,pink,2,3,1703807000000,1703808990000,Run
person_c,c,test4,yellow,3,4,1703808000000,1703810000000,Run
person_a,a,test1,green,1,1,1703808000000,1703814500000,Run
person_a,b,test2,blue,1,1,1703850510000,1703870010000,Run
person_a,a,test5,red,1,2,1703809000000,1703819900000,Run
person_b,b,test3,pink,2,3,1703807000000,1703808990000,Run
person_c,c,test4,yellow,3,4,1703808000000,1703810000000,Run
person_c,c,test6,yellow,3,5,1703808021352,1703810021352,Run
person_c,c,test7,yellow,3,6,1703808528626,1703810528626,Run
person_c,c,test8,yellow,3,7,1703808587879,1703813744979,Run
person_c,c,test9,yellow,3,8,1703809386703,1703810344378,Run
person_c,c,test10,yellow,3,9,1703810035093,1703814593550,Run
person_c,c,test11,yellow,3,10,1703810827086,1703820741355,Run
person_c,c,test12,yellow,3,11,1703811236794,1703816835301,Run
person_c,c,test13,yellow,3,12,1703811467793,1703817217410,Run
person_c,c,test14,yellow,3,13,1703811565526,1703816246925,Wait
person_c,c,test15,yellow,3,14,1703812054889,1703820191740,Run
person_c,c,test16,yellow,3,15,1703812958337,1703813317256,Run
person_c,c,test17,yellow,3,16,1703813305897,1703818795347,Fix
person_c,c,test18,yellow,3,17,1703813747195,1703821668553,Run
person_c,c,test19,yellow,3,18,1703813834861,1703815452464,Run
person_c,c,test20,yellow,3,19,1703814620500,1703816861014,Run
person_c,c,test21,yellow,3,20,1703815059529,1703824524031,Run
person_c,c,test22,yellow,3,21,1703815154100,1703821401357,Run
person_c,c,test23,yellow,3,22,1703815810861,1703818568843,Run
person_c,c,test24,yellow,3,23,1703816541030,1703819193398,Run
person_c,c,test25,yellow,3,24,1703816577648,1703816831870,Run
person_c,c,test26,yellow,3,25,1703817250318,1703822496792,Run
person_c,c,test27,yellow,3,26,1703818129697,1703824312502,Run
person_c,c,test28,yellow,3,27,1703818172718,1703821802459,Run
person_c,c,test29,yellow,3,28,1703818813254,1703822370485,Run
person_c,c,test30,yellow,3,29,1703818975124,1703826029876,Run
person_c,c,test31,yellow,3,30,1703819455459,1703825312747,Run
person_c,c,test32,yellow,3,31,1703820408006,1703827996235,Run
person_c,c,test33,yellow,3,32,1703820652185,1703826716441,Run
person_c,c,test34,yellow,3,33,1703821543775,1703831293271,Run
person_c,c,test35,yellow,3,34,1703822111028,1703828868992,Run
person_c,c,test36,yellow,3,35,1703822914268,1703824631035,Run
person_c,c,test37,yellow,3,36,1703823273739,1703830731538,Run
person_c,c,test38,yellow,3,37,1703823882268,1703829145427,Run
person_c,c,test39,yellow,3,38,1703824736436,1703833453944,Run
person_c,c,test40,yellow,3,39,1703825193731,1703832359285,Run
person_c,c,test41,yellow,3,40,1703825270446,1703829775242,Run
person_c,c,test42,yellow,3,41,1703825335749,1703830494353,Run
person_c,c,test43,yellow,3,42,1703825942885,1703835419433,Run
person_c,c,test44,yellow,3,43,1703826521773,1703826784329,Run
person_c,c,test45,yellow,3,44,1703827019054,1703836095574,Run
